response	label	textid	genre	year	century	treeid	text
0	IP-SUB	homiliubok	rel	1150	12	237	Nú svo sem allir hlutir urðu að helgum dómum þeir er Drottni órum vóru nálægstir sem etan er hann var í lagður þá er hann var barn eða klæði eða margir hlutir aðrir þá má af slíku marka hve heilög sjá mær er er alla ævi hafði Guði þjónað og var glíkari Guðs englum en mönnum í atferð sinni áður hún bæri Drottin vorn og náði svo mikilli samvistu við Guð að hún hafði hann luktan líkama sínum
0	IP-SUB	homiliubok	rel	1150	12	258	Því mátti hún maklega vera móðir Guðs að hún hafði hreinlífi sem Guðs englar og mannlegt eðli svo að guðdómurinn mátti taka af hennar holdi manndóminn svo sem hann hafði skapað fyr öndverðu að maður skyldi frá manni getast
0	IP-SUB	homiliubok	rel	1150	12	349	en þó vissu þeir að fyrir hann hafði borið fyr því að hann benti þeim
0	IP-SUB	homiliubok	rel	1150	12	359	Tekur þaðan af Elísabet gift ins helga anda er sveinninn hafði áður tekið
0	IP-SUB	homiliubok	rel	1150	12	369	En þá er hann hafði ritið þá gefst honum málið
0	IP-MAT	homiliubok	rel	1150	12	420	Hafði Heródes vélta konu bróður síns frá honum
0	IP-SUB	homiliubok	rel	1150	12	425	Herodiadis hét kona sú er hann hafði af Philippo tekið
0	IP-SUB	homiliubok	rel	1150	12	434	Mærin kýs þetta sem móðir hennar hafði fyrir hana lagt
0	IP-MAT	homiliubok	rel	1150	12	456	En áður Jóan kæmi þá höfðu svo liðið of allan heim syndamyrkur og nótt ÓTRÚUNNAR að eigi máttu of sjá sól réttlætis þeir er óskyggnir vóru orðnir af illsku sinni Nú þeir er eigi máttu líta mikið ljós og satt
0	IP-SUB	homiliubok	rel	1150	12	625	Þeir luktu sig í því lofthúsi er Jósef af Arimaþia hafði fengið þeim til ívistar að páskum áður
0	IP-MAT	homiliubok	rel	1150	12	629	Engi þeirra hafði á bók numið því að flestir höfðu þeir við sýslu hafðir verið bæði sér til atvinnu og sínu liði
0	IP-SUB	homiliubok	rel	1150	12	629	Engi þeirra hafði á bók numið því að flestir höfðu þeir við sýslu hafðir verið bæði sér til atvinnu og sínu liði
